rtl id;variable id;datatype;unit;IoT-Ticket name;IoT-Ticket path;query interval (s);minimum query interval (s);store interval (s);is prediction;prediction length (s);confidential;description;API link
27001;177;float;Hz;Fingrid_frequency;/Fingrid/RealTime/Finland/Frequency;300;120;;;;;The frequency of the main grid in Finland;https://data.fingrid.fi/en/datasets/177
27002;188;float;MW;Fingrid_Nuclear_Production;/Fingrid/RealTime/Finland/Production;300;120;;;;;The total nuclear power plant production in Finland;https://data.fingrid.fi/en/datasets/188
27003;181;float;MW;Fingrid_Wind_Production;/Fingrid/RealTime/Finland/Production;300;120;;;;;The total wind power production in Finland;https://data.fingrid.fi/en/datasets/181
27004;191;float;MW;Fingrid_Hydro_Production;/Fingrid/RealTime/Finland/Production;300;120;;;;;The total hydropower plant production in Finland;https://data.fingrid.fi/en/datasets/191
27005;201;float;MW;Fingrid_Heat_Production;/Fingrid/RealTime/Finland/Production;300;120;;;;;The total district heating production in Finland;https://data.fingrid.fi/en/datasets/201
27006;205;float;MW;Fingrid_Other_Production;/Fingrid/RealTime/Finland/Production;300;120;;;;;The total reserve electrical power production including assessed small power plant production in Finland;https://data.fingrid.fi/en/datasets/205
27007;192;float;MW;Fingrid_Total_Production;/Fingrid/RealTime/Finland/Production;300;120;;;;;The total electrical power pruduction in Finland;https://data.fingrid.fi/en/datasets/192
27008;193;float;MW;Fingrid_Total_Consumption;/Fingrid/RealTime/Finland/Consumption;300;120;;;;;The total electrical power consumption in Finland;https://data.fingrid.fi/en/datasets/193
27009;245;float;MWh/h;Fingrid_Wind_Production_Forecast;/Fingrid/Forecast/Finland/Production;3600;600;3600;x;129600;;The total predicted wind power production in Finland;https://data.fingrid.fi/en/datasets/245
27010;248;float;MWh/h;Fingrid_Solar_Production_Forecast;/Fingrid/Forecast/Finland/Production;3600;600;3600;x;129600;;The total predicted solar power production in Finland;https://data.fingrid.fi/en/datasets/248
27011;166;float;MWh/h;Fingrid_Total_Consumption_Forecast;/Fingrid/Forecast/Finland/Consumption;3600;600;3600;x;172800;;The total predicted power consumption in Finland;https://data.fingrid.fi/en/datasets/166
27012;241;float;MWh/h;Fingrid_Total_Production_Forecast;/Fingrid/Forecast/Finland/Production;3600;600;3600;x;172800;;The total predicted power production in Finland;https://data.fingrid.fi/en/datasets/241
27013;202;float;MW;Fingrid_Cogeneration_Production;/Fingrid/RealTime/Finland/Production;300;120;;;;;The total industrial cogeneration production in Finland;https://data.fingrid.fi/en/datasets/202
27014;266;float;gCO2/kWh;Emission_Factor_Production;/Fingrid/RealTime/Finland/Production;300;120;;;;;Emission factor of electricity production in Finland;https://data.fingrid.fi/en/datasets/266
27015;265;float;gCO2/kWh;Emission_Factor_Consumption;/Fingrid/RealTime/Finland/Consumption;300;120;;;;;Emission factor for electricity consumed in Finland;https://data.fingrid.fi/en/datasets/265
